nombre;descripcion
Vale de fusión astral;Un vale con una milagrosa receta para fusión. ¡Llévalo a la Maxifusionadora y verás!
Recomendación;Billete otorgado por demostrar valentía. Consíguelos todos y pasará algo increíble.
Gran recomendación;Billete otorgado por demostrar una enorme valentía. Consíguelos todos y pasará algo increíble.
Sello conquistador;Un premio concedido solo a quienes hayan superado innumerables pruebas. Es prueba fehaciente de su valor.
Billete de la comisión;Billete otorgado por el Comandante a quienes ayudan con la comisión. ¡Utilízalo en la forja!
Billete de la comisión+;Billete dado por el Comandante a quienes ayudan a la comisión de investigación. ¡Úsalo en la forja!
Cupón de buscatrufos;Prueba de camaradería con los lynian del nuevo continente. ¡Llévalo a la forja y verás!
Dibujo Gajalaka;Prueba de amistad con las tribus Gajalaka del Nuevo Continente. ¿Qué harán con ella en la forja?
Vale de Boaboa;Prueba de camaradería con los lynian del Arroyo de Escarcha. ¡Llévalo a la forja y verás!
Vale de flores de primavera;Vale recibido por asistir al festival de flores de primavera. Canjeable por equipo especial o fuegos artificiales.
Vale puesta de sol de verano;Vale recibido por asistir al festival de puesta de verano. Canjeable por equipo especial o fuegos artificiales.
Vale de cosecha de otoño;Vale recibido por asistir al festival de cosecha de otoño. Canjeable por equipo especial o fuegos artificiales.
Vale estrella de invierno;Vale recibido por asistir al festival estrella de invierno. Canjeable por equipo especial o fuegos artificiales.
Vale de gratitud;Vale recibido por asistir al festival de gratitud. Canjeable por equipo especial o fuegos artificiales.
Insectario de primavera;Bestiario con información útil sobre las grandes moscas cornudas. Enséñalo en la forja y te harán una armadura.
Insectario de verano;Bestiario con nueva información sobre las grandes moscas cornudas. Enséñalo en la forja y te harán una armadura.
Vale de Vaal Hazak;Un vale con la figura de Vaal Hazak rodeado por infinita oscuridad. Canjéalo en la forja por nuevo equipo.
Vale de Kirin;Un vale con la figura de Kirin acariciado por el rayo. Canjéalo en la forja por nuevo equipo.
Vale de Teostra;Un vale con la figura de Teostra reinando sobre el purgatorio. Canjéalo en la forja por nuevo equipo.
Vale de Lunastra;Un vale con Lunastra y Teostra rugiendo al unísono. ¿Quizá podrías cambiarlo en la forja por algo bueno?
Vale de Kushala Daora;Un vale con la figura de Kushala Daora gobernando los vientos. Canjéalo en la forja por nuevo equipo.
Vale de Nergigante;Un vale con la figura de Nergigante, la destrucción pura hecha monstruo. Canjéalo en la forja por nuevo equipo.
Vale de Zorah Magdaros;Un vale con la figura de Zorah alzándose sobre el Nuevo Mundo. Canjéalo en la forja por nuevo equipo.
Vale de Xeno'jiiva;Un vale con la figura de Xeno'jiiva el dragón anciano definitivo. Canjéalo en la forja por nuevo equipo.
Vale de Namielle;Un vale con la figura de Namielle, maestro del torrente. Canjéalo en la forja por nuevo equipo.
Vale Cynodon;Prueba de que conseguiste cazar a un Barioth Cynodon curtido. ¿Quizá podrías cambiarlo en la forja por algo bueno?
Vendaje negro;De tela hecha con la piel negra y lustrosa de un monstruo. No se puede obtener por medios normales.
Vale cristal negro;Puedes cambiarlo por un cristal que absorbe la luz con su negrura. No se puede obtener por medios normales.
Vale de la 1.ª flota;Billete con el estandarte y emblema de la 1.ª flota. ¿Quizá podrías cambiarlo en la forja por algo bueno?
Vale de escarabajo;Billete con el heroico señor negro. ¿Quizá podrías cambiarlo en el centro de recursos por algo bueno?
Vale de Mega Man;Un vale para una colaboración especial con Mega Man. Te da acceso a cierto equipo de 8 bits.
Fragmento de estrella celeste;Material especial dado a quienes completan el desafío de USJ. Brilla con un precioso color azul cristalino.
Gema estrella celeste;Material especial para quienes superen el desafío de USJ. Tiene un brillo de color azul milagroso.
Orbe rojo;Sangre petrificada de seres demoníacos. Útil para crear equipo de cazademonios muy elegante.
Planos del maestro artesano;Planos para la construcción de una gran espada revolucionaria, diseñada por un famoso maestro artesano.
Vale Bushi;Vale entregado a quienes hayan ayudado con la investigación especial. ¡Enséñalo en el centro de recursos!
Prisma encantador;Una rara piedra que proyecta ilusiones. ¿Qué me darían si la enseñara en el centro de recursos...?
Pluma de Senu;Una pluma de Senu, leal al asesino que se enfrente a la opresión e injusticia. Enséñala en la forja.
Vale de carrao algodón;Billete con una pareja de carraos algodón. ¿Quizá podrías cambiarlo en la forja por algo bueno?
Vale de carrao rasposo;Un vale con el dibujo de un carrao rasposo. ¿Quizá podrías cambiarlo en la forja por algo bueno?
Vale de Kulu-Ya-Ku;Un vale dado a quienes han ayudado en la investigación del Kulu-Ya-Ku. Incluye un boceto con muchos detalles.
Vale de gorgasia;Un vale concedido a quienes ayudan en la investigación de las gorgasias. Tiene un esbozo hecho por un erudito.
Tícket falso;Billete con un musgorrino y un Felyne. ¿Quizá podrías cambiarlo en el centro de recursos por algo bueno?
Tícket falso II;Billete con una gorgasia y un parche para el ojo. ¿Quizá podrías cambiarlo en el centro de recursos por algo bueno?
Tícket falso III;Billete con el dibujo de un Kulu-Ya-Ku. ¿Quizá podrías cambiarlo en el centro de recursos por algo bueno?
Vale termal;Un vale para los más aficionados a las fuentes termales. Llévalo a la forja y te llevarás una agradable sorpresa.
Vale de vapor;Un vale que da el Jefe tecnólogo a quienes ayudan a la fábrica de vapor. ¡Úsalo en la forja!
Vale lunar;Vale recibido por asistir al festival lunar. Canjeable por equipo especial u objetos.
Vale lunar VIP;Un vale escaso, obtenido durante el festival lunar. Útil para crear armaduras superpuestas y ciguas.
Vale astral;Vale recibido por asistir al festival astral. Canjeable por equipo especial u objetos.
Vale astral VIP;Un vale escaso, obtenido durante el festival astral. Útil para crear armaduras superpuestas y ciguas.
Vale floral;Vale recibido por asistir al festival floral. Canjeable por equipo especial u objetos.
Vale congelador;¡Se llama como el nuevo invento del Arroyo de Escarcha para preservar la comida!  ¡Enséñalo en la forja!
Vale termargénteo;Un vale con la imagen de un macaco termargénteo bañándose. ¿Qué te darían si lo enseñaras en la forja?
Plano de Águila Negra;Un plano creado por Águila Negra, un cazador obsesionado con cazar a dragones ancianos. ¡Llévalo a la forja!
Cazuela de gorgasia;Una cazuela creada por lynians como hogar para gorgasias (de ahí su nombre). ¡Llévala a la forja!
Insignia S.T.A.R.S.;Una insignia especial de las fuerzas especiales del R.P.D., los S.T.A.R.S.
Vale de pingüino;Un vale adornado con dos pingüinos lanudos de expresión inescrutable. ¡Llévalo a la forja!
Tejido sellado dragón;Tejido usado para sellar el cadáver de un temible dragón anciano. Cierto o no, es muy solemne.
Vale fortachón;¡El resultado de definir tus músculos y ponerte a tono! ¡Llévalo a la forja!
Vale pico de minería;Planos para cazadores que quieran una buena herramienta para buscar minerales raros. ¡Llévalo a la forja!
Vale wyveriano;Prueba de tu relación cordial con los wyverianos. Tiene un sello misterioso. ¡Llévalo a la forja!
Vale festivo;Un vale envuelto en papel dorado, usado como decoración en festivales del gremio. ¡Llévalo a la forja y verás!
Símbolo de unidad;Símbolo de amistad con cazadores de todo el mundo. ¡Todos tienen historias increíbles! ¡Llévalo a la forja!
Vale carnívoro de la cantina;¡El chef ha cocinado un menú muy jugoso y proteínico, solo para ti! ¡Enséñalo en la forja!
Vale de caballa cuchillo;Vale recibido del experto en pesca, con varias caballas cuchillo. ¡Llévalo a la forja y verás!
Vale de carrao algodón II;Un vale con un carrao algodón, dibujado cuidadosamente. ¡Llévalo a la forja y verás!
Moneda Pukei;Una moneda otorgada a aquellos que han vencido a un Pukei-Pukei en la Arena.
Moneda Kulu;Una moneda otorgada a aquellos que han vencido a un Kulu-Ya-Ku en la Arena.
Moneda Rathian;Una moneda otorgada a aquellos que han vencido a un Rathian en la Arena.
Moneda Tzitzi;Una moneda otorgada a aquellos que han vencido a un Tzitzi-Ya-Ku en la Arena.
Moneda Barroth;Una moneda otorgada a aquellos que han vencido a un Barroth en la Arena.
Moneda Gama;Una moneda otorgada a aquellos que han vencido a un Dodogama en la Arena.
Moneda Rathalos;Una moneda otorgada a aquellos que han vencido a un Rathalos en la Arena.
Moneda brutal;Una moneda otorgada a aquellos que han vencido a varios wyverns brutales en la Arena.
Moneda voladora;Una moneda otorgada a aquellos que han vencido a varios wyverns voladores en la Arena.
Moneda pináculo;Una moneda conmemorativa dada a cazadores expertos en crear equipo. Su valor es incalculable.
Moneda del rey cazador;Una moneda de plata concedida a los mejores cazadores. Brilla con la gloria del rey cazador.
Moneda del cazador estrella;Moneda de oro concedida a los cazadores más brillantes. Muy pocos han tenido el honor de recibirla.
Moneda Banbaro;Una moneda otorgada a aquellos que han vencido a un Banbaro en la Arena de rango maestro.
Moneda Paolumu;Una moneda otorgada a aquellos que han vencido a un Paolumu en la Arena de rango maestro.
Moneda Narga;Una moneda otorgada a aquellos que han vencido a un Nargacuga en la Arena de rango maestro.
Moneda Glavenus;Una moneda otorgada a aquellos que han vencido a un Glavenus en la Arena de rango maestro.
Moneda Odogaron;Una moneda otorgada a aquellos que han vencido a un Odogaron en la Arena de rango maestro.
Moneda Zinogre;Una moneda otorgada a aquellos que han vencido a un Zinogre en la Arena de rango maestro.
Moneda cinturón negro;Moneda negra de destello abisal otorgada a quienes superan misiones de la Arena de rango maestro.
Moneda del rey héroe;Reluciente moneda dorada otorgada a quienes superan misiones de la Arena muy difíciles de rango maestro.
Moneda Tigrex;Una moneda otorgada a aquellos que han vencido a un Tigrex en la Arena de rango maestro.
Pedazo de dracofuerza;Cortado de Safi'jiiva. Parece de otro mundo, como si brotara poder de su interior. (Se tasará tras la misión).
;
;
;
;
;
Huevo de acero;Brillante huevo de acero. Escaso y muy caro, pero sin utilidad alguna para cazadores. (Objeto vendible).
Huevo de plata;Brillante huevo de plata. Escaso y muy caro, pero sin utilidad alguna para cazadores. (Objeto vendible).
Huevo de oro;Brillante huevo de oro. Escaso y muy caro, pero sin utilidad alguna para cazadores. (Objeto vendible).
Escama astillada;Se consigue con el manto de bandido. Muy cotizada entre coleccionistas, pese a sus grietas. (Objeto vendible)
Escama grande;Se consigue con el manto de bandido. Muy popular entre coleccionistas. (Objeto vendible)
Escama bonita;Se consigue con el manto de bandido. Muy demandada entre coleccionistas. (Objeto vendible)
Escama lustrosa;Se consigue con el manto de bandido. Una fuente de orgullo para cualquier coleccionista. (Objeto vendible)
Escama reluciente;Se consigue con el manto de bandido. Objeto obligado para coleccionistas. (Objeto vendible)
Escama gigante;Se consigue con el manto de bandido. Su tamaño deslumbra a coleccionistas. (Objeto vendible)
Escama magnífica;Se consigue con el manto de bandido. Los coleccionistas babean ante ella. (Objeto vendible)
Piedra Bherna;Importada del Viejo Mundo. Hermoso, pero inútil como material. (Objeto vendible)
Dundomarino;Importado del Viejo Mundo. Hermoso, pero inútil como material. (Objeto vendible)
Mineral Loc Lac;Importado del Viejo Mundo. Hermoso, pero inútil como material. (Objeto vendible)
Cuarzo Val Habar;Importado del Viejo Mundo. Hermoso, pero inútil como material. (Objeto vendible)
Minagardenita;Importada del Viejo Mundo. Hermoso, pero inútil como material. (Objeto vendible)
Escama dorada;Las escamas de un pez dorado. Relucen como solo puede hacerlo el oro puro. (Objeto vendible)
Escama dorada+;Escamas de un pez dorado real. Se venden al mismo precio que el oro. (Objeto vendible)
Escama de platino;Las escamas de un pez de platino. Relucen como un rayo de platino. (Objeto vendible)
Escama de platino+;Escamas de un pez de platino real. Tan brillantes que llegan a deslumbrar. (Objeto vendible)
Escama de oropel;Las escamas de un pececito dorado. Utilizadas por artesanos en sus artes. (Objeto vendible)
Escama de oropel+;Escamas de un pececito dorado real. Usadas solo para la más alta artesanía. (Objeto vendible)
Concha esmeralda;Caparazón de tríope jaspe, de igual belleza que la joya homónima. (Objeto vendible)
Esquirla de oro;Fragmento de una calappa de cobre extraído de Kulve Taroth. (Objeto vendible).
Pepita de oro;Un pequeño fragmento que solo puede proceder de los rastros de Kulve. (Objeto vendible).
Fragmento de oro;Un fragmento de oro puro. Valioso pese a su pequeño tamaño. (Objeto vendible)
Pieza de oro;Una pepita del vil metal. Su brillo puede embrujar al corazón más puro. (Objeto vendible)
Piel espléndida;Se consigue con el manto de bandido. A los coleccionistas les fascina. (Objeto vendible)
D normal nv1;Munición para novatos. Funciona correctamente, pero no tiene mucha pegada.
D normal nv2;Munición normal más potente que la de nv1. Capacidad: 99
D normal nv3;Munición hecha con pólvora de calidad. Cada disparo tiene una gran potencia. Capacidad: 99
D perforante nv1;Disparo perforante con impacto múltiple en ciertos monstruos. Capacidad: 60
D perforante nv2;Disparo perforante de alto calibre, con más impactos que el de nv1. Capacidad: 60
D perforante nv3;Disparo perforante de gran calibre. Causa muchos impactos. Capacidad: 60
D abanico nv1;Munición de gran cobertura. Causa muchos impactos de corto alcance. Capacidad: 80
D abanico nv2;Munición de alto calibre de gran cobertura. Más impactos que la de nv1. Capacidad: 70
D abanico nv3;Gran calibre. Abarca una gran zona y causa muchos impactos. Capacidad: 60
D explosivo nv1;Munición potente que se adhiere al objetivo y explota, aturdiéndolo. Capacidad: 9
D explosivo nv2;Munición muy potente que se adhiere al objetivo y explota, aturdiéndolo. Capacidad: 9
D explosivo nv3;Munición potentísima que se adhiere al objetivo y explota. Aturdidora. Capacidad: 9
D racimo nv1;Munición que se parte en tres al impactar. ¡Ojo con el fuego amigo! Capacidad: 3
D racimo nv2;Munición que se parte en cuatro al impactar. ¡Ojo con el fuego amigo! Capacidad: 3
D racimo nv3;Munición que se parte en cinco al impactar. ¡Ojo con el fuego amigo! Capacidad: 3
D fuego;Munición con efecto extra en monstruos vulnerables al fuego. Capacidad: 60
D agua;Munición con efecto extra en monstruos vulnerables al agua. Capacidad: 60
D rayo;Munición con efecto extra en monstruos vulnerables al rayo. Capacidad: 60
D hielo;Munición con efecto extra en monstruos vulnerables al hielo. Capacidad: 60
D draco;Munición imbuida del sello de ancianos, útil contra monstruos débiles al draco. Capacidad: 3
D veneno nv1;Munición envenenada. Algunos objetivos necesitan varios disparos. Capacidad: 12
D veneno nv2;Munición envenenada mejorada. Algunos objetivos necesitan varios disparos. Capacidad: 12
D paralizante nv1;Munición paralizante. Algunos objetivos necesitan varios disparos. Capacidad: 12
D paralizante nv2;Munición paralizante mejorada. Algunos objetivos necesitan varios disparos. Capacidad: 8
D sueño nv1;Munición somnífera. Algunos objetivos necesitan varios disparos. Capacidad: 12
D sueño nv2;Munición somnífera mejorada. Algunos objetivos necesitan varios disparos. Capacidad: 8
D fatiga nv1;Munición que debilita la resistencia del objetivo. Capacidad: 12
D fatiga nv2;Munición mejorada que debilita la resistencia del objetivo. Capacidad: 8
D recuperación nv1;Munición que restablece un poco la salud de un aliado al impactar. Capacidad: 12
D recuperación nv2;Munición que restablece bastante la salud de un aliado al impactar. Capacidad: 12
D wyvern;Munición creada tras años de estudio del fuego de wyvern. Capacidad: 5
D cortante;Munición que saca hojas afiladas al impactar. Puede cortar colas. Capacidad: 30
D tranquilizante;Munición de ballesta para capturar a monstruos que han caído en trampas. Capacidad: 8
D demonio;Munición que concede al objetivo una fuerza increíble. Capacidad: 5
D armadura;Munición que endurece la piel del objetivo como una piedra. Capacidad: 5
Vial quemarropa;Flechas diseñadas para dañar más a objetivos cercanos, a costa de reducir su alcance máximo.
Vial de potencia;Revestimiento para flechas que aumenta el ataque al disparar. Capacidad: 50
Vial de veneno;Revestimiento que aplica veneno a las flechas disparadas. Capacidad: 20
Vial paralizante;Revestimiento que aplica efecto paralizante a las flechas. Capacidad: 20
Vial de sueño;Revestimiento que aplica efecto somnífero a las flechas. Capacidad: 20
Vial de nitro;Revestimiento que aplica nitro explosivo a las flechas disparadas. Capacidad: 20
Joya misteriosa;Una joya que deja entrever cierto poder en su interior. (Objeto valioso)
Joya brillante;Una joya que oculta un poder desconocido en su interior. (Objeto valioso)
Joya gastada;Una joya que oculta un poder considerable en su interior. (Objeto valioso)
Joya deforme;Una joya que oculta un poder místico en su interior. (Objeto valioso)
Joya ancestral;Una joya que oculta un poder antiguo en su interior. (Objeto valioso)
Joya tallada;Una joya que oculta un poder inmenso en su interior. (Objeto valioso)
Joya sellada;Una joya que oculta un poder abrumador en su interior. (Objeto valioso)
Joya fusión acerada;Unavailable
Joya fusión argéntea;Unavailable
Joya fusión áurea;Unavailable
Joya fusión astral;Unavailable
Draconita sucia;Aunque sucia, esta piedra vibra con un poder innegable. (Objeto valioso)
Draconita brillante;Una piedra que emite un resplandor de posibilidades infinitas. (Objeto valioso)
Arma disuelta;Arma de materiales de Kulve Taroth. Es necesario repararla antes de usarla. (Tasada tras investigación).
Arma fusionada;Arma de materiales de Kulve Taroth. Algunas partes están imbuidas de oro. (Tasada tras investigación).
Arma sublimada;Arma de materiales de Kulve Taroth. Reforzada imbuyéndola con oro. (Tasada tras investigación).
Arma incandescente;Arma de materiales de Kulve Taroth. Hecha fusionando metales raros. (Tasada tras investigación).
Hígado blanco;Popular por su jugosa textura. (Objeto especial)
Lágrima de wyvern;Amargas lágrimas que lloran los wyverns en ciertos casos. (Objeto especial)
Lágrima de wyvern G;Amargos lagrimones que lloran los wyverns en ciertos casos. (Objeto especial)
Tesoro de dragón;Roca brillante que recogen los dragones ancianos. (Objeto especial)
Tesoro de dragón antiguo;Piedras atesoradas por dragones ancianos. Cuanto más viejas sean, más brillan. (Objeto especial)
Piedra transparente;Una roca misteriosa, transparente y con un brillo extraño. (Objeto especial).
Flor de sol;Flor del Bosque Primigenio que ha sido bañada largamente por la luz del sol. (Objeto especial)
Flor de luz;Rara flor del Bosque Primigenio. Sus pétalos huelen a luz del sol. (Objeto especial)
Flor de oro;Preciosa flor del Bosque Primigenio. Brilla más que el oro puro. (Objeto especial)
Sombrero de seta gourmet;Una seta del Bosque Primigenio. Conocida por su textura única. (Objeto especial)
Seta exquisita;Una seta rara del Bosque Primigenio. Muy buscada por los mejores chefs. (Objeto especial)
Seta espiritual;Una seta preciosa del Bosque Primigenio. Posee un fulgor fantástico. (Objeto especial)
Cactus bola;Un cactus del Yermo de Agujas. Pequeño pero carnoso. (Objeto especial)
Cactus joya;Un cactus poco común del Yermo de Agujas. Grande y carnoso. (Objeto especial)
Cactus regio;Un valioso cactus del Yermo de Agujas. El rey de las púas. (Objeto especial)
Durípero;Fruta del Yermo de Agujas. Dura por fuera, pero jugosa por dentro. (Objeto especial)
Roquípero;Rara fruta del Yermo de Agujas. Sabrosa, pero difícil de masticar. (Objeto especial)
Silvípero;Valiosa fruta del Yermo de Agujas. Solo para los más valientes. (Objeto especial)
Superabulón;Marisco de los Altiplanos Coralinos. Una verdadera delicia. (Objeto especial)
Abulón selecto;Raro marisco de los Altiplanos Coralinos. Tan grande como sabroso. (Objeto especial)
Abulón precioso;Valioso marisco de los Altiplanos Coralinos. Manjar sin parangón. (Objeto especial)
Perla de luz;Joya de los Altiplanos Coralinos. Emite un brillante resplandor. (Objeto especial)
Perla profunda;Joya poco común de los Altiplanos Coralinos. De un fulgor peculiar. (Objeto especial)
Perla inocente;Valiosa joya de los Altiplanos Coralinos. Resplandece de pureza. (Objeto especial)
Fósil olvidado;Un fósil del Valle Putrefacto. Presenta señales de su antigüedad. (Objeto especial)
Fósil legendario;Raro fósil del Valle Putrefacto. Portó vida tiempo atrás. (Objeto especial)
Fósil místico;Valioso fósil del Valle Putrefacto. Revela antiguos misterios. (Objeto especial)
Fruto subterráneo;Fruta del Valle Putrefacto. Crece y madura sin la luz del sol. (Objeto especial)
Fruto impuro;Rara fruta del Valle Putrefacto. Crece en condiciones extremas. (Objeto especial)
Fruto elíseo;Valiosa fruta del Valle Putrefacto. Su aroma no es de este mundo. (Objeto especial)
Ámbar de Gaia;Ámbar del Lecho de los Ancianos. Lágrima de oro nacida de la tierra. (Objeto especial)
Ámbar dracovena;Raro ámbar del Lecho de los Ancianos. Vibra con energía de la naturaleza. (Objeto especial)
Ámbar antiguo;Valioso Ámbar del Lecho de los Ancianos. Parte de la antigüedad. (Objeto especial)
Berilio azul;Gema del Lecho de los Ancianos. Brilla con el color de las olas. (Objeto especial)
Berilio real;Rara gema del Lecho de los Ancianos. Tan clara como la verdad. (Objeto especial)
Berilio abisal;Valiosa gema del Lecho de los Ancianos. Su color es hipnotizante. (Objeto especial)
Seta lunar;Planta especial del Bosque Primigenio. Refulge como la luna llena. (Objeto especial)
Dracoflor;Una flor especial del Yermo de Agujas. Dura como la escama de un dragón. (Objeto especial)
Piña celestial;Fruta especial del Yermo de Agujas. Difícil de cultivar. (Objeto especial)
Abulón violeta;Marisco especial de los Altiplanos Coralinos. Aroma y sabor sin igual. (Objeto especial)
Perla de platino;Joya especial de los Altiplanos Coralinos. Su brillo es metálico. (Objeto especial)
Fósil perverso;Fósil especial del Valle Putrefacto. Indescriptiblemente inquietante. (Objeto especial)
Cielobaya;Fruta especial del Valle Putrefacto. Un solo bocado te llevará al cielo. (Objeto especial)
Piedra crepuscular;Gema especial del Lecho de los Ancianos. Del color del sol naciente. (Objeto especial)
Piedra de Noé;Gema especial del Lecho de los Ancianos. Su brillo lo eclipsa todo. (Objeto especial)
Escama podrida;Escama de dragón deteriorada por el tiempo. (Objeto especial)
Escama luminosa;Escama de dragón que brilla a pesar de los años que ha envejecido. (Objeto especial)
Petasites joven;Verdura del Arroyo de Escarcha. Gran fuente de nutrientes para la fauna ártica. (Objeto especial)
Petasites exquisita;Verdura rara del Arroyo de Escarcha. Con nutrientes que mantienen cálido todo el cuerpo. (Objeto especial)
Petasites milenaria;Verdura rara del Arroyo de Escarcha. Floreció milagrosamente tras siglos de espera. (Objeto especial)
Flor de hielo;Flor del Arroyo de Escarcha con pétalos translúcidos como el hielo. (Objeto especial)
Flor de hielo luz de luna;Flor rara del Arroyo de Escarcha. Reluce entre la nieve a la luz de la luna. (Objeto especial)
Flor de hielo pico nevado;Flor rara del Arroyo de Escarcha. Se dice que florece tras las ventiscas más fuertes. (Objeto especial)
Blancanieves;Verdura rara del Arroyo de Escarcha. Preservada por la nieve blanca más pura. (Objeto especial)
Pétalo de cristal;Flor rara del Arroyo de Escarcha. Bella como una joya, efímera como un copo de nieve. (Objeto especial)
Esquirla de hueso cristalizado;Un fragmento de hueso inusual encontrado en los estratos de las Tierras Destino. (Objeto especial)
Hueso de monstruo cristalizado;Un hueso monstruoso inusual de las Tierras Destino. Brilla diferente en cada zona. (Objeto especial)
Hueso de dragón anciano cristalizado;Hueso de dragón anciano de las Tierras Destino. Antiguo más allá de la comprensión. (Objeto especial)
Lágrima de bestia grande;Grandes y amargos lagrimones que las bestias dejan caer a veces. (Objeto especial)
Medicamento;Restablece una pequeña cantidad de salud. (Objeto de apoyo)
Medicamento+;Restablece un poco de salud. (Objeto de apoyo)
Ración (apoyo);Restablece un poco de resistencia. (Objeto de apoyo)
Polvo de vida (apoyo);Crea una neblina curativa en la zona que cura a quien entre en contacto con ella. (Objeto de apoyo)
Fuente de vida (apoyo);Emite una neblina a tu alrededor que restaura una gran cantidad de salud. (Objeto de apoyo)
Poción máxima (apoyo);Aumenta el indicador de salud al máximo y la recupera toda. (Objeto de apoyo)
Bomba barril grande (apoyo);Bomba de barril grande mejorada (del poder de la megabomba barril). (Objeto de apoyo)
Trampa eléctrica (apoyo);Inmoviliza el objetivo para capturarlo fácilmente. (Objeto de apoyo)
Trampa de escollo (apoyo);Activa una trampa para atrapar a monstruos. (Objeto de apoyo)
Polvo de hierbas (apoyo);Cura el veneno y restablece algo de salud a los que están cerca. (Objeto de apoyo)
Polvo de demonio (apoyo);Refuerza temporalmente el ataque de los que están cerca. (Objeto de apoyo)
Polvo de cáscara (apoyo);Refuerza temporalmente la defensa de los que están cerca. (Objeto de apoyo)
Cápsula flash (apoyo);Munición para eslinga que emite un destello al impactar. (Objeto de apoyo)
Cápsula chillona (apoyo);Munición de eslinga que produce un estruendo ensordecedor. (Objeto de apoyo)
Cápsula boñiga (apoyo);Exuda un fuerte hedor al impactar. Repele a ciertos tipos de monstruos. (Objeto de apoyo)
Navaja aérea;Puedes dispararla con la eslinga revestida de diversas sustancias. (Objeto de apoyo)
Navaja tóxica;Navaja cubierta de veneno que puedes disparar con la eslinga. (Objeto de apoyo)
Cuchillo sedante;Navaja cubierta de sedante que puedes disparar con eslinga. (Objeto de apoyo)
Navaja paralizante;Navaja con paralizante que puedes disparar con la eslinga. (Objeto de apoyo)
Cuchillo tranquilizante;Navaja con tranquilizante que puedes disparar con la eslinga. (Objeto de apoyo)
Bola transportadora (apoyo);Llama a un dracoalado para llevarte de vuelta al campamento base. (Objeto de apoyo)
Bola tranquilizante (apoyo);Granada de mano utilizada para capturar a monstruos que han caído en trampas. (Objeto de apoyo)
Hierba verde;Una hierba verde nativa de las montañas Arklay. Restaura parte de tu salud y cura el estado zombi. (Solo durante misiones).
Hierba roja;Una hierba roja nativa de las montañas Arklay. No puede usarse tal cual. (Solo durante misiones).
Hierba mixta (V+R);Esta mezcla de 2 hierbas distintas restaurará toda tu salud. (Solo durante misiones).
